Game,As of,Genre(s),Developer(s),Publisher(s),Copies_sold,Release_date,Metacritic_url,Critic_score,User_score,Number_of_critic_reviews,Number_of_user_reviews,Description,Price,Image
Luigi's Mansion 3,"March 31, 2023",Action-adventure,Next Level Games,Nintendo,12.82 million,10/31/2019,https://www.metacritic.com/game/luigis-mansion-3,86.0,8.4,112.0,1410.0,"Luigi embarks on a dream vacation with Mario and friends upon receiving an invitation to a luxurious hotel. However, his dream quickly becomes a nightmare when King Boo reveals everything had been a ploy to capture Mario and friends. With the assistance of Professor E. Gadd once again, the reluctant and cowardly hero Luigi traverses up a... ",47.392100000000006,https://upload.wikimedia.org/wikipedia/en/thumb/3/38/Luigi%27s_Mansion_3.jpg/220px-Luigi%27s_Mansion_3.jpg
Super Mario 3D World + Bowser's Fury,"September 30, 2023",Platformer,Nintendo EPD,Nintendo,12.58 million,02/12/2021,https://www.metacritic.com/game/super-mario-3d-world-+-bowsers-fury,89.0,8.7,129.0,1024.0,"The cat's out of the bag, Super Mario 3D World is on to the Nintendo Switch system. Pounce and climb through dozens of colorful stages! Mario (and his friends) can use power-ups like the Super Bell, which grants catlike abilities, like climbing and scratching. Work together locally or online with up to three other players to reach the go... ",47.392100000000006,https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/Super_Mario_3D_World_box_art.jpg/220px-Super_Mario_3D_World_box_art.jpg
Mario Party Superstars,"September 30, 2023",Party,NDcube,Nintendo,11.44 million,10/29/2021,https://www.metacritic.com/game/mario-party-superstars,80.0,7.9,97.0,315.0,A Superstar collection of classic Nintendo 64™ boards - Calling all Superstars! Mario Party™ is back with 5 classic boards from the Nintendo 64 Mario Party games. Frosting meets flowers as you race to get the most stars (and sabotage your opponents) on the Peach’s Birthday Cake board from the original Mario Party game. Or watch the count... ,47.392100000000006,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Mario_Party_Superstars_cover_art.jpg/220px-Mario_Party_Superstars_cover_art.jpg
Nintendo Switch Sports,"September 30, 2023",Sports,Nintendo EPD,Nintendo,10.77 million,04/29/2022,https://www.metacritic.com/game/nintendo-switch-sports,72.0,5.9,118.0,252.0,"Swing, kick, spike, and bowl your way to victory in a sports collection that will get the whole family moving. Get moving* with Soccer, Volleyball, Bowling, Tennis, Badminton, and Chambara (Swordplay) using Joy-Con™ controllers! Controls are intuitive, so you can hit the court (or lanes, or field, or arena) and get started. With controll... ",39.4921,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Nintendo_Switch_Sports_cover_art.jpg/220px-Nintendo_Switch_Sports_cover_art.jpg
Splatoon 3,"March 31, 2023",Third-person shooter,Nintendo EPD,Nintendo,10.67 million,09/09/2022,https://www.metacritic.com/game/splatoon-3,83.0,7.0,122.0,546.0,"Ink up the Splatlands in the next Splatoon game. Enter the Splatlands, a sun-scorched desert inhabited by battle-hardened Inklings and Octolings. Splatsville, the city of chaos, is the adrenaline-fueled heart of this dusty wasteland. Even in this desolate environment, Turf War reigns supreme and battles rage in new stages located in the ... ",47.392100000000006,https://upload.wikimedia.org/wikipedia/en/thumb/4/4f/Splatoon.3.jpg/220px-Splatoon.3.jpg
Super Mario 3D All-Stars,"December 31, 2021",Platformer compilation,Nintendo,Nintendo,9.07 million,09/18/2020,https://www.metacritic.com/game/super-mario-3d-all-stars,82.0,6.4,111.0,881.0,"Play three of Mario’s greatest 3D platform adventures—all in one package. Play three classic games at home or on the go—all in one package on the Nintendo Switch™ system! Jump into paintings in Super Mario 64™, clean up paint-like goop in Super Mario Sunshine™, and fly from planet to planet in Super Mario Galaxy™.

Run, jump, and dive ... ",N/A,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Super_Mario_3D_All_Stars.jpg/220px-Super_Mario_3D_All_Stars.jpg
Super Mario Maker 2,"December 31, 2022",Platformer/Level editor,Nintendo EPD,Nintendo,8.42 million,06/28/2019,https://www.metacritic.com/game/super-mario-maker-2,88.0,8.5,106.0,1051.0,"Mario fans of the world, unite! Now you can play, create, and share the side-scrolling Super Mario courses of your dreams in the Super Mario Maker 2 game, available exclusively on the Nintendo Switch™ system! Dive into the single-player Story Mode and play built-in courses to rebuild Princess Peach’s castle. Make your own courses, alone ... ",47.392100000000006,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/Super_Mario_Maker_2.jpg/220px-Super_Mario_Maker_2.jpg
Monster Hunter Rise,"December 31, 2021",Action role-playing,Capcom,Capcom,7.7 million,03/26/2021,https://www.metacritic.com/game/monster-hunter-rise,88.0,6.9,130.0,1155.0,"Rise to the challenge and join the hunt. The action-RPG series returns to the Nintendo Switch! Set in the ninja-inspired land of Kamura Village, explore lush ecosystems and battle fearsome monsters to become the ultimate hunter. It's been half a century since the last calamity struck, but a terrifying new monster has reared its head and ... ",22.1121,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Monster_hunter_rise_cover.jpg/220px-Monster_hunter_rise_cover.jpg
Kirby and the Forgotten Land,"September 30, 2023",Platformer,HAL Laboratory,Nintendo,6.96 million,03/25/2022,https://www.metacritic.com/game/kirby-and-the-forgotten-land,85.0,8.8,141.0,791.0,"Join Kirby in an unforgettable journey through a mysterious world in a 3D platforming adventure. Float off on an all-new adventure as the powerful puffball, Kirby. Explore in 3D stages as you discover a mysterious world with abandoned structures from a past civilization—like a shopping mall?! Copy enemies’ abilities like the new Drill an... ",47.392100000000006,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Kirby_and_The_Forgotten_Land_Icon.jpg/220px-Kirby_and_The_Forgotten_Land_Icon.jpg
The Legend of Zelda: Link's Awakening,"December 31, 2022",Action-adventure,Grezzo,Nintendo,6.46 million,09/20/2019,https://www.metacritic.com/game/the-legend-of-zelda-links-awakening,87.0,8.4,121.0,1796.0,"[*Reviews will go up on September 19 at 5am Pacific] 26 years after its original release on Game Boy, The Legend of Zelda: Link's Awakening will be reborn as a new experience on Nintendo Switch. Buffeted by a storm, Link washes ashore on the mysterious Koholint Island. In order to return home, Link must overcome challenging dungeons and ... ",47.392100000000006,https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/Link%27s_Awakening.png/220px-Link%27s_Awakening.png
